,hydrophobic fitness,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: intraR total,evoef2: interS total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
0,0.0154,0.0846,0.3161,0.0217,0.1204,0.2538,0.2198,0.2942,0.1892,0.2507,0.1828,0.1882,0.098,0.0557,0.1697,0.1938,0.2018,0.0879,0.3311,0.3376,0.0558,0.0653,0.2202,0.0886,0.116,0.2242,0.1648,0.0076,0.01,0.0714
1,0.1136,0.2508,0.084,0.316,0.2323,0.0573,0.0819,0.1104,0.1264,0.0448,0.2123,0.2302,0.2462,0.0718,0.0022,0.2218,0.0007,0.3143,0.0732,0.0238,0.067,0.037,0.1215,0.1332,0.2295,0.0788,0.1687,0.3252,0.2811,0.3081
